KEYWORD,INTENT,GROUPS,LABELS,VOLUME,YOY TREND,SUM TOP10 CTR,[M] FEATURES,[D] FEATURES,[M] RANK,[M] CHANGE,[M] PAGE,[M] BEST RANK,[M] BEST RANK DATE,[M] AIO Brand Mention,[M] AIO Cited Rank,[M] AIO Cited Rank Change,[M] AIO Citation Status,[M] AIO Cited URL,[D] RANK,[D] CHANGE,[D] PAGE,[D] BEST RANK,[D] BEST RANK DATE,[D] AIO Brand Mention,[D] AIO Cited Rank,[D] AIO Cited Rank Change,[D] AIO Citation Status,[D] AIO Cited URL,DIFFICULTY,OPPORTUNITY,ADDED ON
villa rental andalucia spain,transactional,Spain,,320,-19%,77%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",7,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/andalucia,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/andalucia,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
ibiza old town villas,transactional,Spain | AI Overview Desktop | AI Overview Mobile,,210,24%,74%,"Images pack, Questions, AI Overview","Images pack, Questions, AI Overview",3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/ibiza/ibiza-town,3,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/ibiza/ibiza-town,4,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas with pools in turkey,commercial,Turkey,Seasonal,170,-19%,66%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",10,-,https://www.solmarvillas.com/destinations/turkey-villas,10,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,10,-,https://www.solmarvillas.com/destinations/turkey-villas,10,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
villas in kalkan turkey,commercial,Turkey,Seasonal,320,-46%,68%,"Images pack, Hotels","Images pack, Hotels",5,-,https://www.solmarvillas.com/destinations/turkey-villas/dalaman/kalkan,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/turkey-villas/dalaman/kalkan,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
cheap villas in turkey with private pool,commercial,Turkey,,260,-56%,65%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Questions, Hotels",9,-,https://www.solmarvillas.com/destinations/turkey-villas,9,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,9,-,https://www.solmarvillas.com/destinations/turkey-villas,9,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villas in tenerife costa adeje,transactional,Spain,,170,-19%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",6,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife/costa-adeje,6,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife/costa-adeje,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villas to rent in fuerteventura caleta de fuste,transactional,Spain,,260,-34%,68%,"Video Carousel, Hotels",Hotels,4,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/fuerteventura/caleta-de-fuste,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/fuerteventura/caleta-de-fuste,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villas with heated pools spain,informational,Spain,Seasonal,140,21%,71%,"Ads Pack, Video Carousel, Images pack, Hotels",Images pack,4,-,https://www.solmarvillas.com/villa-types/villas-with-heated-pools,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/villa-types/villas-with-heated-pools,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villas in fuengirola,transactional,Spain,,720,-18%,67%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",100,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol/mijas-costa/villa-las-vistas-sierrezuela,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol/mijas-costa/villa-las-vistas-sierrezuela,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
last minute holidays menorca,transactional,Spain,Seasonal,390,0%,100%,Images pack,"Images pack, Questions",67,-,https://www.solmarvillas.com/,67,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
villas to rent in lanzarote with private pool,transactional,Spain,,90,-22%,100%,-,-,7,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
places to visit corfu,informational,Greece | AI Overview Desktop | AI Overview Mobile,Seasonal,590,-18%,72%,"Questions, AI Overview","Images pack, Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/places-to-visit-in-corfu,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/places-to-visit-in-corfu,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
holiday villas in turkey with private pool,commercial,Turkey | AI Overview Desktop | AI Overview Mobile,,90,-21%,75%,"Images pack, AI Overview","Images pack, AI Overview",8,-,https://www.solmarvillas.com/destinations/turkey-villas,8,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,8,-,https://www.solmarvillas.com/destinations/turkey-villas,8,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villas in costa del sol with private pool,transactional,Spain,,170,-47%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",7,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol,7,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villas in pollensa with pool,transactional,Spain,,170,-47%,68%,"Video Carousel, Images pack, Hotels","Questions, Hotels",9,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/pollensa,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/pollensa,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villa majorca 2026,transactional,Spain,,70,0%,77%,"Images pack, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca,4,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca,4,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
luxury villa northern spain,transactional,Spain | AI Overview Mobile,,40,-25%,87%,"Video Carousel, Images pack, AI Overview",Questions,65,-,https://www.solmarvillas.com/destinations/spain-villas,41,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,63,-,https://www.solmarvillas.com/destinations/spain-villas,50,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,2,2025-10-16
kissimmee villa rentals,transactional,USA,,390,-34%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",40,-,https://www.solmarvillas.com/destinations/usa-villas/florida/orlando/disney-and-kissimmee,40,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,48,-,https://www.solmarvillas.com/destinations/usa-villas/florida/orlando/disney-and-kissimmee,48,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
villa with pool fuerteventura,transactional,Spain,,90,-36%,68%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Hotels",8,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/fuerteventura,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/fuerteventura,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villas to rent in binibeca,transactional,Spain,,70,-22%,68%,"Images pack, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/binibeca,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/binibeca,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
villa breaks spain,transactional,Spain,,20,0%,98%,"Images pack, Local pack",-,6,-,https://www.solmarvillas.com/destinations/spain-villas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/spain-villas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
things to do in andalucia,informational,Spain | AI Overview Desktop | AI Overview Mobile,Seasonal,260,-19%,60%,"Video Carousel, Images pack, Questions, AI Overview","Ads Pack, Images pack, Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-andalucia,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/destination-guides/things-to-do-in-andalucia,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,2,2025-10-16
portugal villas 2026,transactional,Portugal,,20,0%,93%,"Images pack, Hotels",Images pack,3,-,https://www.solmarvillas.com/offers/2026-villa-holidays,3,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/offers/2026-villa-holidays,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in tenerife playa de las americas,transactional,Spain,,110,-18%,68%,"Images pack, Hotels","Images pack, Hotels",100,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/tenerife,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,1,2025-10-16
villas in kissimmee florida with private pool,transactional,USA,,90,-18%,68%,"Images pack, Questions, Hotels","Images pack, Hotels",100,-,https://www.solmarvillas.com/destinations/usa-villas/florida/orlando/disney-and-kissimmee/villa-emerald-sunshine,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/usa-villas/florida/orlando/disney-and-kissimmee/villa-emerald-sunshine,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,1,2025-10-16
kalkan holidays 2026,transactional,Turkey,,10,0%,100%,Images pack,-,48,-,https://www.solmarvillas.com/destinations/turkey-villas/dalaman/kalkan,48,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,50,-,https://www.solmarvillas.com/destinations/turkey-villas/dalaman/kalkan,50,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Medium,1,2025-10-16
villa holidays in the canary islands,transactional,Spain,,1600,0%,100%,"Video Carousel, Images pack",Images pack,1,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa spain 2026,transactional,Spain,,70,0%,75%,"Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/offers/2026-villa-holidays,3,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/offers/2026-villa-holidays,3,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa nerja private pool,transactional,Spain,,390,0%,76%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/andalucia/nerja,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/andalucia/nerja,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas to rent cala n bosch,transactional,Spain,,70,-44%,55%,"Ads Pack, Hotels",Hotels,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,1,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
bodrum holiday villas,transactional,Turkey,,40,67%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",6,-,https://www.solmarvillas.com/destinations/turkey-villas/bodrum,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/turkey-villas/bodrum,3,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas for 10 in spain,transactional,Spain | AI Overview Desktop,,50,33%,87%,Images pack,AI Overview,1,-,https://www.solmarvillas.com/destinations/spain-villas/villas-10-spain,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/villas-10-spain,1,2025-10-16,Mentioned,2,-,,https://www.solmarvillas.com/destinations/spain-villas/villas-10-spain,Top10,0,2025-10-16
malta villas 2026,transactional,Malta and Gozo,,0,0%,68%,"Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/malta-gozo-villas/malta,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/malta-gozo-villas/malta,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa rental fuerteventura,transactional,Spain,,880,0%,68%,"Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/fuerteventura,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/fuerteventura,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in mainland spain,transactional,Spain | AI Overview Desktop,Seasonal,70,40%,86%,"Images pack, Questions","Questions, AI Overview",2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain,2,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain,2,2025-10-16,Mentioned,3,-,,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-calida,Top10,0,2025-10-16
menorca villas 2026,informational,Spain,,10,0%,91%,"Images pack, Questions, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/cala-blanca,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/cala-blanca,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in cala en bosch,transactional,Spain,,40,0%,61%,"Ads Pack, Video Carousel, Images pack, Hotels","Images pack, Local pack, Knowledge Graph",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
private villas in spain with pool,transactional,Spain,,2900,-19%,94%,"Video Carousel, Images pack, Local pack",Local pack,1,-,https://www.solmarvillas.com/destinations/spain-villas/villas-in-spain-with-private-pool-near-beach,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/villas-in-spain-with-private-pool-near-beach,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa in costa del sol,transactional,Spain,,720,-33%,68%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
spanish villa rentals with private pool,transactional,Spain | AI Overview Desktop | AI Overview Mobile,,390,129%,73%,"Video Carousel, Images pack, Local pack, AI Overview","Images pack, Local pack, AI Overview",1,-,https://www.solmarvillas.com/destinations/spain-villas/villas-in-spain-with-private-pool-near-beach,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/villas-in-spain-with-private-pool-near-beach,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in costa teguise,transactional,Spain,,1600,-38%,55%,"Ads Pack, Video Carousel, Images pack, Questions, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/costa-teguise/villa-lanzabur,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/costa-teguise/villa-lanzabur,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
spain villas 2026,transactional,Spain | AI Overview Mobile,,10,0%,62%,"Images pack, Hotels, AI Overview",Hotels,3,-,https://www.solmarvillas.com/offers/2026-villa-holidays,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/offers/2026-villa-holidays,2,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
spanish holiday villas with private pools,transactional,Spain | AI Overview Desktop,,590,-18%,85%,"Video Carousel, Images pack, Local pack","Local pack, AI Overview",1,-,https://www.solmarvillas.com/destinations/spain-villas/villas-in-spain-with-private-pool-near-beach,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/villas-in-spain-with-private-pool-near-beach,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas cala n bosch,transactional,Spain,,110,-21%,72%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in maspalomas,transactional,Spain,,210,0%,68%,"Images pack, Hotels",Hotels,4,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/gran-canaria/maspalomas,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/gran-canaria/maspalomas,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa in binibeca with pool,transactional,Spain,,30,0%,68%,"Video Carousel, Images pack, Hotels",Hotels,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/binibeca,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/binibeca,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa holidays in binibeca menorca,transactional,Spain | AI Overview Desktop,,10,0%,70%,"Images pack, Local pack","Images pack, AI Overview",1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/binibeca,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/binibeca,1,2025-10-16,Only Others Mentioned,6,-,,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/binibeca/binirubi,Top10,0,2025-10-16
villas in majorca near beach,transactional,Spain,,170,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/villas-to-rent-in-majorca-near-the-beach,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca/villas-to-rent-in-majorca-near-the-beach,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
sea view villas spain,informational,Spain,,40,100%,83%,"Video Carousel, Images pack, Hotels","Images pack, Questions, Hotels",2,-,https://www.solmarvillas.com/villa-types/sea-view-villas,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/villa-types/sea-view-villas,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
kalkan villa holidays,commercial,Turkey,,210,-19%,100%,Images pack,Images pack,3,-,https://www.solmarvillas.com/destinations/turkey-villas/dalaman/kalkan,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/turkey-villas/dalaman/kalkan,3,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
the villas in florida,informational,USA,,1300,-23%,65%,"Images pack, Questions, Hotels","Images pack, Questions, Hotels",2,-,https://www.solmarvillas.com/destinations/usa-villas/florida,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/usa-villas/florida,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
luxury villas in costa blanca,transactional,Spain | AI Overview Desktop | AI Overview Mobile,,110,180%,57%,"Video Carousel, Images pack, Hotels, AI Overview","Hotels, AI Overview",1,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca,1,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa in playa blanca,informational,Spain,,1000,-32%,67%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/playa-blanca,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/playa-blanca,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa in calpe with pool,transactional,Spain,,30,200%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/calpe,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/calpe,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in cala n bosch menorca,transactional,Spain,,30,-40%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,1,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,1,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa rentals mallorca,transactional,Spain,,4400,-18%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in lanzarote puerto del carmen,informational,Spain,,260,86%,67%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/puerto-del-carmen,3,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/puerto-del-carmen,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in calpe spain,transactional,Spain,,170,53%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",1,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/calpe,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/calpe,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa cala n bosch menorca,transactional,Spain,,50,125%,68%,"Video Carousel, Images pack, Hotels",Hotels,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/calan-bosch,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in spain costa del sol,transactional,Spain,,50,0%,68%,"Images pack, Hotels",Hotels,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
cyprus villas 2026,transactional,Cyprus | AI Overview Desktop,,10,0%,78%,"Images pack, Hotels","Images pack, Hotels, AI Overview",2,-,https://www.solmarvillas.com/offers/2026-villa-holidays,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/offers/2026-villa-holidays,2,2025-10-16,Mentioned,1,-,,https://www.solmarvillas.com/offers/2026-villa-holidays,Top10,0,2025-10-16
villas in calpe with private pool,transactional,Spain | AI Overview Desktop,,90,-59%,87%,Images pack,"Images pack, AI Overview",2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/calpe,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca/calpe,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
